mutant,p_value
12CodC6A,0.365344
12HeptA4T,0.934931
12HeptC3G,0.05942
12HeptC3T,0.53642
12HeptG5A,0.342245
12HeptG5C,0.00023
12HeptG7A,0.031487
12HeptG7C,0.88381
12HeptG7T,1.0
12HeptT6A,0.0
12HeptT6AG7C,0.000287
12HeptT6C,0.0
12HeptT6CG7A,7.2e-05
12NonA1G,0.203371
12NonA3C,0.0
12NonA4C,0.000159
12NonA4T,0.002183
12NonA5T,0.183806
12NonC8G,0.560757
12NonC8T,2.8e-05
12NonC9T,0.58356
12SpacA12C,0.053733
12SpacA12T,0.451381
12SpacA3G,0.505635
12SpacA3T,0.792564
12SpacA7C,0.385353
12SpacA7G,0.061777
12SpacC1A,0.09073
12SpacC1G,0.364281
12SpacC4G,0.525747
12SpacC4T,5.3e-05
12SpacC8T,0.498902
12SpacG10A,0.803275
12SpacG10C,0.226934
12SpacG10CG11A,0.032678
12SpacG10T,0.242026
12SpacG11A,0.225669
12SpacG11C,0.171199
12SpacG11T,0.065908
12SpacG6A,0.107293
12SpacG6T,0.000258
12SpacT9A,0.784749
12SpacT9C,0.001382
12SpacT9G,0.027031
DFL161,2e-06
DFL1613,0.002328
V1-135,0.30737
V10-96,0.105859
V19-93,0.771196
V4-55,0.466352
V5-43,0.2429
V6-15,0.128653
V6-17,0.363935
V8-18,0.000276
V9-120,0.239938
